Location,Rainfall (mm),Depth_to_Water_Level (m),Seasonal_Fluctuation (m),Soil_Type,Rock_Type,Aquifer_Type,Required_Bore_Depth (m)
Medak,1176.49,17.36,2.15,Red Sandy,Quartzite,Confined,22.27
Rangareddy,1144.4,7.19,3.25,Laterite,Schist,Unconfined,13.32
Adilabad,1091.64,4.43,4.07,Black Cotton,Basalt,Confined,10.12
Nizamabad,1073.73,8.98,2.1,Red Sandy,Basalt,Confined,12.63
Nizamabad,1093.1,8.19,1.68,Black Cotton,Quartzite,Confined,11.71
Mahabubnagar,1210.88,8.71,3.59,Black Cotton,Granite,Unconfined,13.66
Adilabad,1129.73,5.14,2.96,Black Cotton,Basalt,Semi-confined,10.88
Nalgonda,935.22,7.66,2.57,Black Cotton,Quartzite,Confined,11.74
Hyderabad,1173.88,6.71,3.85,Red Sandy,Granite,Confined,12.1
Adilabad,1135.46,3.46,4.08,Laterite,Basalt,Semi-confined,9.49
Rangareddy,1103.75,9.01,2.02,Loamy,Granite,Semi-confined,12.92
Nalgonda,938.25,8.98,4.38,Red Sandy,Schist,Semi-confined,14.92
Nalgonda,1021.15,6.87,3.34,Laterite,Quartzite,Confined,11.79
Nalgonda,933.53,7.58,3.27,Red Sandy,Granite,Confined,12.31
Khammam,1651.48,6.92,1.61,Red Sandy,Granite,Unconfined,10.91
Adilabad,1057.05,5.28,3.47,Laterite,Granite,Confined,11.26
Hyderabad,1155.87,7.78,2.3,Loamy,Quartzite,Semi-confined,13.08
Khammam,1616.09,8.09,4.03,Laterite,Granite,Unconfined,14.25
Nalgonda,987.44,8.11,2.58,Loamy,Quartzite,Confined,12.55
Nizamabad,1124.03,6.73,3.8,Black Cotton,Basalt,Semi-confined,12.99
Rangareddy,1061.18,7.46,3.94,Black Cotton,Granite,Semi-confined,13.36
Khammam,1624.41,6.69,1.55,Loamy,Schist,Confined,10.35
Karimnagar,1277.26,7.9,4.36,Loamy,Granite,Confined,13.57
Karimnagar,1281.1,9.29,4.44,Loamy,Schist,Semi-confined,16.0
Karimnagar,1259.93,8.71,4.06,Red Sandy,Schist,Confined,13.98
Adilabad,1048.45,3.5,4.97,Laterite,Quartzite,Unconfined,10.32
Mahabubnagar,1276.75,8.67,3.21,Laterite,Basalt,Unconfined,14.04
Karimnagar,1237.36,8.15,2.78,Laterite,Quartzite,Semi-confined,12.89
Rangareddy,1109.53,9.33,2.39,Red Sandy,Quartzite,Semi-confined,13.35
Mahabubnagar,1215.65,8.04,4.12,Laterite,Granite,Unconfined,14.3
Warangal,1820.01,9.22,2.53,Black Cotton,Schist,Unconfined,14.55
Khammam,1645.63,6.57,2.57,Black Cotton,Schist,Semi-confined,11.82
Rangareddy,1112.52,9.33,2.52,Black Cotton,Quartzite,Semi-confined,13.26
Hyderabad,1208.43,8.27,2.67,Red Sandy,Basalt,Confined,12.26
Hyderabad,1234.46,9.16,4.25,Loamy,Basalt,Semi-confined,16.27
Nalgonda,933.71,8.56,2.07,Red Sandy,Schist,Confined,13.2
Rangareddy,1141.63,7.05,3.11,Black Cotton,Quartzite,Semi-confined,11.63
Warangal,1786.83,8.13,4.41,Laterite,Granite,Unconfined,15.03
Adilabad,1116.5,4.93,1.92,Black Cotton,Granite,Unconfined,8.3
Mahabubnagar,1202.75,8.6,4.25,Laterite,Quartzite,Semi-confined,14.37
Khammam,1563.15,6.8,2.78,Loamy,Granite,Semi-confined,11.85
Adilabad,1135.94,3.9,2.0,Red Sandy,Quartzite,Semi-confined,8.79
Mahabubnagar,1179.01,7.3,3.78,Black Cotton,Granite,Unconfined,13.05
Warangal,1828.74,6.43,2.96,Loamy,Quartzite,Semi-confined,11.12
Nalgonda,968.92,8.1,3.45,Black Cotton,Schist,Unconfined,14.51
Hyderabad,1191.11,9.39,3.99,Red Sandy,Granite,Confined,15.54
Adilabad,1129.0,5.17,3.34,Loamy,Basalt,Semi-confined,11.39
Karimnagar,1204.97,8.12,2.2,Black Cotton,Quartzite,Semi-confined,13.31
Rangareddy,1093.85,6.52,2.85,Loamy,Schist,Confined,11.47
Rangareddy,1098.31,8.63,4.32,Loamy,Basalt,Unconfined,14.4
Nalgonda,1002.85,9.4,3.42,Red Sandy,Granite,Semi-confined,14.04
Nalgonda,1014.25,8.72,3.23,Red Sandy,Schist,Unconfined,14.33
Karimnagar,1276.3,8.91,4.4,Black Cotton,Basalt,Semi-confined,15.86
Hyderabad,1214.14,7.51,3.59,Loamy,Quartzite,Confined,12.69
Mahabubnagar,1221.86,8.64,3.48,Laterite,Granite,Semi-confined,13.98
Nizamabad,1127.98,8.31,4.06,Laterite,Quartzite,Semi-confined,15.19
Mahabubnagar,1263.15,9.17,2.95,Red Sandy,Granite,Unconfined,14.77
Hyderabad,1218.48,7.16,2.15,Loamy,Quartzite,Confined,11.63
Nizamabad,1144.33,8.49,2.17,Laterite,Granite,Unconfined,11.85
Nalgonda,964.0,8.37,2.75,Laterite,Quartzite,Confined,12.77
Karimnagar,1252.22,6.7,2.96,Laterite,Schist,Confined,11.63
Hyderabad,1177.67,6.57,3.07,Loamy,Schist,Semi-confined,11.2
Khammam,1586.41,9.23,4.15,Red Sandy,Granite,Confined,14.54
Nizamabad,1096.83,7.73,4.31,Red Sandy,Granite,Unconfined,13.97
Medak,1197.95,14.48,2.43,Red Sandy,Quartzite,Confined,19.8
Mahabubnagar,1276.09,8.51,4.42,Red Sandy,Quartzite,Confined,15.19
Khammam,1640.56,6.6,2.55,Laterite,Basalt,Confined,11.38
Nizamabad,1108.41,7.83,1.61,Black Cotton,Quartzite,Semi-confined,11.77
Mahabubnagar,1210.15,6.44,2.92,Black Cotton,Basalt,Semi-confined,12.2
Nizamabad,1129.79,9.37,2.17,Loamy,Schist,Semi-confined,13.17
Nizamabad,1085.85,8.45,4.16,Black Cotton,Granite,Unconfined,13.84
Rangareddy,1154.0,8.52,1.55,Loamy,Quartzite,Semi-confined,12.42
Khammam,1569.36,7.01,4.54,Laterite,Schist,Semi-confined,12.57
Nizamabad,1126.67,8.66,2.82,Laterite,Granite,Unconfined,14.28
Nizamabad,1085.53,8.0,1.98,Red Sandy,Basalt,Confined,12.09
Nizamabad,1145.91,8.35,4.99,Black Cotton,Basalt,Confined,16.07
Karimnagar,1296.69,8.71,2.76,Laterite,Basalt,Semi-confined,14.26
Khammam,1650.21,6.77,2.2,Red Sandy,Quartzite,Confined,11.66
Nizamabad,1112.39,9.12,2.72,Red Sandy,Schist,Semi-confined,12.89
Nizamabad,1107.64,6.44,4.44,Laterite,Quartzite,Confined,12.74
Rangareddy,1069.46,7.98,3.03,Red Sandy,Quartzite,Semi-confined,12.43
Rangareddy,1097.22,7.74,4.84,Laterite,Schist,Confined,15.51
Adilabad,1086.36,2.75,1.79,Laterite,Basalt,Unconfined,5.66
Warangal,1766.36,6.9,2.59,Laterite,Basalt,Unconfined,10.78
Khammam,1645.45,7.76,4.57,Loamy,Quartzite,Unconfined,14.18
Karimnagar,1282.97,8.81,4.87,Black Cotton,Schist,Semi-confined,14.88
Mahabubnagar,1252.26,8.37,3.75,Black Cotton,Schist,Unconfined,13.24
Adilabad,1063.47,3.16,1.59,Black Cotton,Basalt,Semi-confined,7.33
Nizamabad,1103.08,6.83,1.68,Red Sandy,Granite,Unconfined,9.78
Rangareddy,1099.15,9.17,4.45,Black Cotton,Granite,Confined,15.32
Medak,1207.41,15.2,2.82,Red Sandy,Quartzite,Unconfined,19.5
Khammam,1587.36,8.24,4.29,Laterite,Quartzite,Semi-confined,14.77
Mahabubnagar,1261.4,9.35,3.89,Loamy,Basalt,Confined,14.8
Mahabubnagar,1183.0,7.52,2.68,Black Cotton,Granite,Semi-confined,11.6
Rangareddy,1151.78,7.73,3.38,Red Sandy,Granite,Semi-confined,12.66
Rangareddy,1072.96,8.38,1.86,Red Sandy,Granite,Confined,12.7
Warangal,1755.15,8.85,3.61,Red Sandy,Schist,Semi-confined,14.78
Nalgonda,950.07,7.62,4.31,Red Sandy,Basalt,Confined,14.45
Rangareddy,1097.76,8.37,4.19,Red Sandy,Basalt,Unconfined,14.61
Rangareddy,1062.57,6.47,3.22,Black Cotton,Quartzite,Unconfined,12.3
Warangal,1805.95,8.58,3.14,Laterite,Quartzite,Unconfined,13.76
Hyderabad,1205.26,8.55,2.21,Red Sandy,Granite,Confined,12.29
Adilabad,1105.42,3.24,4.42,Black Cotton,Basalt,Confined,8.69
Medak,1194.24,15.25,3.5,Black Cotton,Granite,Semi-confined,20.61
Hyderabad,1221.79,8.32,1.55,Loamy,Basalt,Unconfined,12.74
Rangareddy,1105.04,6.95,4.08,Black Cotton,Basalt,Unconfined,12.08
Rangareddy,1099.69,6.62,1.88,Red Sandy,Granite,Semi-confined,10.22
Nizamabad,1089.49,6.41,4.19,Loamy,Basalt,Confined,13.01
Mahabubnagar,1198.1,7.92,2.67,Red Sandy,Schist,Confined,13.55
Rangareddy,1088.21,9.25,1.82,Laterite,Schist,Unconfined,12.93
Medak,1186.23,17.32,2.85,Laterite,Quartzite,Confined,22.9
Medak,1233.89,14.93,4.83,Laterite,Granite,Unconfined,22.14
Khammam,1642.91,6.79,3.02,Red Sandy,Granite,Semi-confined,11.77
Rangareddy,1145.78,6.61,3.01,Black Cotton,Quartzite,Semi-confined,12.54
Warangal,1760.44,7.36,4.26,Red Sandy,Basalt,Semi-confined,14.6
Nizamabad,1086.52,7.44,4.03,Loamy,Basalt,Unconfined,13.4
Hyderabad,1172.67,7.72,3.28,Black Cotton,Granite,Unconfined,12.26
Karimnagar,1211.98,7.5,1.6,Loamy,Basalt,Confined,10.9
Rangareddy,1118.72,6.85,2.66,Black Cotton,Schist,Confined,11.1
Karimnagar,1250.1,8.12,2.65,Red Sandy,Granite,Unconfined,13.45
Adilabad,1119.66,3.13,4.55,Laterite,Quartzite,Confined,10.11
Khammam,1563.99,7.34,4.09,Black Cotton,Basalt,Confined,12.93
Karimnagar,1206.07,9.1,4.93,Red Sandy,Basalt,Confined,15.9
Medak,1195.97,15.31,2.35,Red Sandy,Quartzite,Confined,19.74
Medak,1235.21,14.67,4.22,Laterite,Schist,Confined,20.15
Hyderabad,1178.1,8.55,1.66,Black Cotton,Basalt,Unconfined,12.35
Warangal,1826.5,8.67,4.58,Laterite,Quartzite,Semi-confined,15.28
Rangareddy,1145.16,7.2,4.59,Black Cotton,Quartzite,Semi-confined,13.85
Warangal,1809.93,8.4,1.77,Black Cotton,Basalt,Semi-confined,12.72
Warangal,1762.79,8.36,2.42,Red Sandy,Schist,Unconfined,12.42
Adilabad,1039.81,3.95,4.27,Red Sandy,Schist,Confined,10.37
Nizamabad,1120.53,6.66,3.64,Laterite,Granite,Unconfined,12.35
Nalgonda,964.41,7.09,3.94,Black Cotton,Granite,Semi-confined,12.09
Warangal,1751.87,6.69,2.15,Red Sandy,Basalt,Semi-confined,11.0
Karimnagar,1222.28,8.71,2.89,Red Sandy,Quartzite,Semi-confined,13.48
Karimnagar,1208.86,6.99,4.37,Loamy,Quartzite,Unconfined,13.35
Warangal,1820.08,6.43,2.64,Laterite,Quartzite,Confined,11.96
Adilabad,1080.26,4.8,3.02,Black Cotton,Quartzite,Semi-confined,10.25
Warangal,1814.89,7.04,1.84,Laterite,Basalt,Semi-confined,10.8
Khammam,1581.14,6.48,2.49,Loamy,Granite,Unconfined,10.49
Medak,1162.08,15.05,3.06,Laterite,Granite,Unconfined,19.18
Mahabubnagar,1263.05,7.58,1.69,Black Cotton,Granite,Semi-confined,10.98
Nalgonda,982.37,7.17,3.54,Laterite,Quartzite,Semi-confined,13.03
Khammam,1592.26,8.13,2.31,Red Sandy,Basalt,Semi-confined,12.71
Karimnagar,1258.33,7.28,2.58,Loamy,Quartzite,Confined,12.47
Mahabubnagar,1215.46,6.51,2.51,Loamy,Granite,Semi-confined,10.68
Mahabubnagar,1239.09,7.56,2.28,Loamy,Basalt,Semi-confined,12.14
Hyderabad,1213.12,7.43,2.16,Black Cotton,Quartzite,Confined,10.94
Nalgonda,974.21,7.14,3.1,Black Cotton,Basalt,Semi-confined,11.85
Medak,1227.96,14.38,4.29,Red Sandy,Basalt,Semi-confined,19.72
Rangareddy,1085.3,8.54,3.73,Red Sandy,Schist,Confined,13.55
Mahabubnagar,1188.85,7.35,3.71,Loamy,Granite,Unconfined,13.63
Khammam,1564.43,8.08,3.78,Red Sandy,Schist,Unconfined,13.44
Adilabad,1068.35,4.74,4.46,Black Cotton,Basalt,Unconfined,10.58
Nalgonda,975.74,8.13,4.26,Laterite,Quartzite,Confined,13.79
Mahabubnagar,1184.93,6.96,3.92,Loamy,Quartzite,Semi-confined,12.24
Warangal,1751.8,8.49,4.2,Black Cotton,Basalt,Confined,14.26
Adilabad,1066.24,5.6,2.38,Black Cotton,Granite,Semi-confined,9.77
Nalgonda,940.05,8.79,3.21,Laterite,Basalt,Confined,14.15
Karimnagar,1218.03,6.69,3.24,Laterite,Basalt,Semi-confined,11.16
Warangal,1778.99,7.28,4.72,Black Cotton,Granite,Semi-confined,14.32
Mahabubnagar,1200.02,9.01,1.93,Black Cotton,Basalt,Confined,12.65
Warangal,1798.44,7.5,3.52,Loamy,Granite,Confined,12.85
Warangal,1806.34,8.38,3.57,Loamy,Granite,Semi-confined,13.91
Medak,1229.88,16.61,4.44,Red Sandy,Quartzite,Semi-confined,22.68
Adilabad,1060.01,5.14,4.52,Black Cotton,Quartzite,Confined,10.72
Adilabad,1066.7,4.11,3.32,Loamy,Schist,Semi-confined,9.12
Rangareddy,1145.11,8.75,4.13,Laterite,Schist,Unconfined,14.2
Adilabad,1059.55,4.71,1.7,Red Sandy,Schist,Semi-confined,9.19
Hyderabad,1153.08,7.24,2.74,Loamy,Granite,Confined,12.46
Warangal,1812.59,7.41,4.79,Black Cotton,Basalt,Semi-confined,13.71
Warangal,1739.16,7.46,2.94,Laterite,Basalt,Confined,11.46
Nizamabad,1151.98,8.06,4.64,Black Cotton,Quartzite,Semi-confined,14.12
Nalgonda,952.71,6.95,4.11,Loamy,Quartzite,Semi-confined,12.81
Warangal,1815.26,8.42,3.59,Black Cotton,Basalt,Unconfined,13.6
Khammam,1607.01,8.99,3.73,Red Sandy,Schist,Unconfined,13.73
Medak,1217.06,15.35,2.5,Loamy,Schist,Unconfined,19.08
Rangareddy,1155.79,8.26,4.39,Black Cotton,Granite,Unconfined,14.08
Adilabad,1137.85,3.73,2.97,Red Sandy,Basalt,Confined,8.3
Medak,1187.74,16.59,4.89,Loamy,Basalt,Confined,23.28
Warangal,1801.74,8.76,2.62,Red Sandy,Schist,Confined,13.54
Karimnagar,1276.11,8.76,1.78,Loamy,Granite,Semi-confined,13.14
Medak,1170.84,16.78,3.74,Loamy,Basalt,Semi-confined,22.35
Rangareddy,1117.63,8.96,3.78,Black Cotton,Quartzite,Confined,15.21
Warangal,1751.56,9.17,3.14,Loamy,Schist,Semi-confined,15.01
Medak,1206.12,15.68,1.78,Red Sandy,Granite,Unconfined,20.32
Khammam,1558.76,6.42,2.86,Loamy,Basalt,Confined,12.22
Karimnagar,1234.93,8.49,3.84,Loamy,Quartzite,Unconfined,14.02
Adilabad,1092.9,4.81,2.98,Red Sandy,Quartzite,Confined,9.09
Nalgonda,1011.69,7.62,2.98,Black Cotton,Granite,Unconfined,12.94
Nizamabad,1147.43,8.77,4.24,Black Cotton,Granite,Semi-confined,15.61
Hyderabad,1150.39,6.58,3.87,Black Cotton,Basalt,Semi-confined,11.82
Mahabubnagar,1203.44,7.32,2.8,Loamy,Basalt,Semi-confined,11.86
Hyderabad,1173.51,7.16,3.68,Loamy,Granite,Confined,12.66
Khammam,1583.41,8.01,1.84,Black Cotton,Quartzite,Confined,11.12
Karimnagar,1218.71,8.17,4.39,Loamy,Basalt,Semi-confined,14.42
Nalgonda,995.72,7.36,3.75,Red Sandy,Quartzite,Unconfined,13.12
Medak,1225.82,15.46,4.32,Loamy,Basalt,Semi-confined,21.56
Mahabubnagar,1234.64,7.57,2.71,Laterite,Basalt,Confined,11.69
Karimnagar,1230.65,7.53,3.38,Laterite,Granite,Confined,12.01
Rangareddy,1094.11,8.32,2.54,Loamy,Schist,Semi-confined,12.66
Nalgonda,1004.43,7.43,4.12,Black Cotton,Quartzite,Unconfined,14.08
Medak,1171.24,16.7,4.02,Laterite,Quartzite,Semi-confined,22.88
Medak,1166.7,16.49,3.07,Loamy,Schist,Semi-confined,22.13
Nizamabad,1159.07,6.88,2.7,Loamy,Basalt,Unconfined,11.27
Khammam,1619.35,6.63,2.83,Red Sandy,Granite,Unconfined,10.54
Khammam,1578.7,9.19,2.75,Loamy,Quartzite,Unconfined,13.55
Khammam,1636.09,8.4,2.4,Black Cotton,Quartzite,Semi-confined,12.32
Nalgonda,994.58,7.27,4.73,Black Cotton,Basalt,Semi-confined,13.07
Adilabad,1083.7,2.9,1.55,Loamy,Quartzite,Confined,6.64
Medak,1194.09,15.35,2.67,Black Cotton,Granite,Semi-confined,19.62
Rangareddy,1117.97,8.23,4.35,Red Sandy,Schist,Semi-confined,14.16
Medak,1188.16,15.54,1.58,Loamy,Basalt,Unconfined,19.45
Hyderabad,1181.77,7.92,3.67,Loamy,Granite,Semi-confined,13.13
Hyderabad,1237.23,8.48,4.43,Black Cotton,Schist,Unconfined,14.49
Khammam,1624.66,8.22,2.03,Loamy,Basalt,Unconfined,11.92
Hyderabad,1205.84,9.28,4.02,Laterite,Basalt,Unconfined,15.15
Mahabubnagar,1249.9,8.31,2.09,Black Cotton,Basalt,Unconfined,11.9
Warangal,1759.31,6.62,4.15,Black Cotton,Basalt,Semi-confined,13.74
Medak,1168.2,16.72,4.17,Loamy,Quartzite,Confined,22.5
Warangal,1813.69,7.55,3.61,Red Sandy,Schist,Unconfined,12.6
Karimnagar,1252.07,8.45,4.81,Black Cotton,Quartzite,Semi-confined,15.25
Warangal,1809.14,7.6,1.91,Black Cotton,Granite,Confined,12.05
Nalgonda,945.54,8.0,3.33,Laterite,Schist,Confined,13.06
Mahabubnagar,1237.21,7.88,2.36,Laterite,Granite,Confined,12.14
Khammam,1627.56,7.97,4.9,Laterite,Schist,Confined,13.98
Mahabubnagar,1210.99,8.31,3.81,Black Cotton,Quartzite,Semi-confined,15.11
Hyderabad,1223.85,8.76,3.38,Red Sandy,Granite,Unconfined,14.64
Nalgonda,960.06,9.29,4.91,Black Cotton,Granite,Semi-confined,16.99
Mahabubnagar,1228.3,6.77,1.99,Loamy,Granite,Semi-confined,11.08
Mahabubnagar,1191.04,6.89,2.9,Laterite,Basalt,Semi-confined,12.1
Karimnagar,1212.88,7.92,3.63,Laterite,Granite,Confined,14.51
Warangal,1772.12,7.97,2.21,Black Cotton,Quartzite,Semi-confined,12.38
Adilabad,1064.03,3.5,4.68,Red Sandy,Basalt,Unconfined,10.83
Hyderabad,1232.23,9.38,2.67,Black Cotton,Schist,Unconfined,14.12
Medak,1237.59,17.35,2.83,Loamy,Granite,Semi-confined,21.6
Rangareddy,1131.12,6.69,2.56,Laterite,Granite,Unconfined,10.38
Rangareddy,1122.2,9.27,2.19,Laterite,Schist,Confined,13.94
Rangareddy,1145.59,7.81,3.88,Loamy,Schist,Confined,13.04
Nizamabad,1169.7,7.21,2.15,Laterite,Schist,Unconfined,10.67
Khammam,1627.34,6.4,2.21,Red Sandy,Granite,Confined,9.83
Mahabubnagar,1211.26,6.62,4.77,Laterite,Basalt,Unconfined,12.65
Nalgonda,952.13,8.02,2.41,Loamy,Schist,Confined,11.49
Nizamabad,1102.22,8.58,1.52,Laterite,Basalt,Semi-confined,12.0
Mahabubnagar,1276.39,7.74,3.22,Loamy,Schist,Confined,13.68
Nalgonda,1021.42,6.65,4.83,Laterite,Quartzite,Confined,14.2
Rangareddy,1126.3,8.51,4.48,Red Sandy,Basalt,Unconfined,14.65
Warangal,1758.27,7.96,3.79,Laterite,Quartzite,Unconfined,14.66
Medak,1236.75,16.59,2.62,Laterite,Quartzite,Unconfined,21.96
Karimnagar,1233.89,8.36,4.24,Loamy,Quartzite,Unconfined,14.92
Adilabad,1059.95,5.06,4.3,Loamy,Quartzite,Confined,11.66
Khammam,1593.65,8.53,2.48,Red Sandy,Quartzite,Confined,12.57
Hyderabad,1209.41,7.89,2.33,Loamy,Granite,Unconfined,11.72
Adilabad,1097.12,4.51,2.86,Red Sandy,Basalt,Confined,10.08
Khammam,1564.12,8.64,2.0,Black Cotton,Schist,Semi-confined,12.96
Karimnagar,1262.17,7.89,1.83,Laterite,Quartzite,Confined,11.2
Adilabad,1097.2,4.82,3.45,Black Cotton,Quartzite,Confined,10.07
Mahabubnagar,1233.94,7.09,3.22,Black Cotton,Basalt,Unconfined,12.81
Mahabubnagar,1250.25,7.04,3.96,Loamy,Granite,Semi-confined,13.6
Medak,1217.63,15.83,3.78,Laterite,Basalt,Semi-confined,21.01
Mahabubnagar,1230.31,6.82,2.04,Loamy,Granite,Unconfined,10.51
Mahabubnagar,1193.95,6.47,4.19,Red Sandy,Quartzite,Unconfined,12.56
Mahabubnagar,1207.43,9.19,2.44,Laterite,Granite,Semi-confined,13.28
Nizamabad,1125.07,8.08,3.58,Red Sandy,Granite,Confined,13.98
Nizamabad,1087.69,9.16,4.46,Laterite,Quartzite,Semi-confined,15.78
Hyderabad,1219.94,7.83,1.85,Laterite,Basalt,Unconfined,11.93
Warangal,1791.3,7.76,3.17,Black Cotton,Quartzite,Unconfined,12.27
Khammam,1609.14,9.24,3.77,Red Sandy,Granite,Unconfined,15.18
Mahabubnagar,1245.1,7.55,1.98,Black Cotton,Schist,Confined,11.18
Warangal,1819.68,7.65,1.62,Red Sandy,Quartzite,Semi-confined,11.32
Hyderabad,1188.72,9.1,4.79,Laterite,Basalt,Confined,15.08
Medak,1232.03,15.69,2.46,Laterite,Quartzite,Unconfined,19.62
Karimnagar,1293.4,6.88,2.55,Loamy,Granite,Semi-confined,10.99
Nizamabad,1148.27,7.29,4.34,Laterite,Basalt,Unconfined,14.44
Warangal,1824.76,6.42,3.79,Laterite,Granite,Confined,11.26
Adilabad,1128.9,3.58,4.64,Laterite,Quartzite,Semi-confined,10.82
Hyderabad,1158.45,7.73,4.62,Red Sandy,Schist,Semi-confined,14.51
Nizamabad,1107.96,8.99,2.36,Loamy,Schist,Confined,14.33
Rangareddy,1142.79,7.81,2.45,Loamy,Basalt,Semi-confined,11.86
Nizamabad,1151.04,6.41,4.04,Black Cotton,Granite,Confined,12.26
Nizamabad,1131.1,8.98,4.53,Red Sandy,Schist,Confined,15.7
Mahabubnagar,1211.0,8.79,3.56,Black Cotton,Quartzite,Confined,13.85
Warangal,1742.52,7.63,3.77,Red Sandy,Schist,Unconfined,13.12
Hyderabad,1207.89,6.64,4.22,Loamy,Quartzite,Unconfined,12.12
Warangal,1755.08,8.1,3.19,Red Sandy,Granite,Confined,14.24
Karimnagar,1261.99,6.53,4.19,Loamy,Schist,Confined,13.09
Medak,1251.73,16.19,2.83,Black Cotton,Schist,Semi-confined,21.9
Karimnagar,1287.77,6.75,4.07,Black Cotton,Granite,Semi-confined,13.09
Mahabubnagar,1229.52,7.37,3.46,Black Cotton,Quartzite,Semi-confined,12.83
Adilabad,1044.59,2.76,3.9,Red Sandy,Schist,Confined,7.96
Hyderabad,1206.85,6.92,2.3,Black Cotton,Quartzite,Confined,11.13
Adilabad,1134.9,5.09,4.96,Black Cotton,Schist,Unconfined,12.19
Adilabad,1091.07,3.28,1.66,Laterite,Granite,Confined,6.18
Hyderabad,1180.89,6.51,4.91,Laterite,Basalt,Unconfined,12.58
Nalgonda,996.23,9.32,2.62,Loamy,Basalt,Unconfined,14.03
Nalgonda,1023.41,7.92,4.94,Laterite,Granite,Semi-confined,14.26
Nalgonda,942.12,8.59,1.86,Black Cotton,Quartzite,Confined,12.52
Hyderabad,1163.62,6.85,1.75,Black Cotton,Granite,Confined,10.99
Hyderabad,1231.62,6.42,3.29,Black Cotton,Schist,Semi-confined,10.88
Nizamabad,1152.79,6.5,4.5,Loamy,Granite,Confined,12.71
Rangareddy,1089.78,7.03,1.64,Black Cotton,Schist,Confined,10.69
Khammam,1616.21,8.3,2.09,Black Cotton,Quartzite,Semi-confined,13.03
Mahabubnagar,1185.3,8.14,4.53,Red Sandy,Quartzite,Unconfined,15.18
Mahabubnagar,1231.25,6.91,2.43,Loamy,Granite,Semi-confined,11.07
Karimnagar,1238.6,7.26,2.56,Loamy,Schist,Unconfined,12.13
Adilabad,1086.36,4.42,3.41,Loamy,Schist,Confined,10.38
Nizamabad,1129.73,7.71,4.44,Laterite,Quartzite,Confined,13.86
Adilabad,1066.11,4.68,4.17,Red Sandy,Basalt,Unconfined,10.7
Nalgonda,999.94,6.63,4.67,Laterite,Schist,Semi-confined,13.39
Warangal,1763.89,7.07,2.43,Red Sandy,Granite,Semi-confined,10.57
Khammam,1563.1,8.27,2.9,Black Cotton,Basalt,Confined,13.37
Medak,1182.93,15.97,4.09,Laterite,Basalt,Unconfined,22.37
Adilabad,1098.24,5.45,2.45,Loamy,Basalt,Confined,9.66
Nalgonda,934.19,7.17,4.57,Red Sandy,Basalt,Confined,14.72
Khammam,1613.28,6.84,3.58,Loamy,Quartzite,Semi-confined,12.97
Hyderabad,1215.38,9.19,3.62,Red Sandy,Granite,Semi-confined,14.21
Adilabad,1071.22,2.84,3.37,Black Cotton,Quartzite,Semi-confined,8.12
Adilabad,1093.62,4.84,3.76,Laterite,Basalt,Unconfined,11.0
Hyderabad,1219.5,8.4,4.23,Laterite,Granite,Unconfined,13.8
Khammam,1622.52,6.89,3.42,Laterite,Quartzite,Unconfined,12.63
Hyderabad,1219.23,8.29,2.38,Laterite,Basalt,Unconfined,13.07
Mahabubnagar,1196.15,7.56,3.47,Red Sandy,Basalt,Semi-confined,13.83
Nizamabad,1099.06,7.33,1.61,Black Cotton,Basalt,Unconfined,9.96
Hyderabad,1243.9,7.6,3.7,Red Sandy,Basalt,Semi-confined,12.64
Warangal,1794.61,7.94,2.29,Black Cotton,Quartzite,Unconfined,11.82
Warangal,1748.01,8.77,3.28,Laterite,Quartzite,Confined,14.37
Warangal,1770.09,7.86,2.1,Laterite,Schist,Semi-confined,12.71
Khammam,1634.74,7.26,2.18,Loamy,Basalt,Unconfined,11.51
Mahabubnagar,1251.97,8.33,3.86,Loamy,Basalt,Semi-confined,13.94
Mahabubnagar,1209.63,8.36,2.58,Laterite,Schist,Unconfined,12.08
Hyderabad,1227.1,7.73,2.52,Black Cotton,Basalt,Semi-confined,11.89
Adilabad,1072.15,2.66,2.44,Red Sandy,Basalt,Semi-confined,7.31
Mahabubnagar,1236.05,8.73,3.31,Loamy,Basalt,Unconfined,14.14
Mahabubnagar,1220.16,8.29,5.0,Laterite,Schist,Semi-confined,14.41
Mahabubnagar,1185.07,6.47,4.22,Red Sandy,Schist,Unconfined,12.68
Karimnagar,1203.49,8.61,4.18,Loamy,Granite,Confined,15.59
Medak,1209.76,16.22,1.66,Black Cotton,Schist,Confined,19.96
Mahabubnagar,1268.28,7.72,3.38,Black Cotton,Schist,Semi-confined,13.52
Warangal,1822.79,9.0,1.65,Loamy,Granite,Confined,13.1
Hyderabad,1151.65,9.2,4.17,Red Sandy,Granite,Semi-confined,15.42
Warangal,1745.98,8.47,1.83,Red Sandy,Schist,Confined,12.44
Nalgonda,944.06,9.15,3.99,Loamy,Granite,Confined,15.4
Nalgonda,1019.43,6.46,3.64,Red Sandy,Quartzite,Semi-confined,11.94
Medak,1235.29,14.75,3.88,Red Sandy,Granite,Semi-confined,19.76
Nalgonda,931.85,9.12,2.81,Red Sandy,Basalt,Unconfined,14.82
Nalgonda,982.83,8.45,3.44,Black Cotton,Granite,Confined,13.38
Medak,1186.79,15.91,4.62,Black Cotton,Basalt,Confined,22.4
Medak,1249.55,17.11,2.95,Black Cotton,Quartzite,Confined,22.59
